range,column,x_start,x_end,y_start,y_end
25,10,94.38340566,97.88422846,9.586482745,11.1169118
25,11,94.38174045,97.88256325,8.056385883,9.586814937
25,12,94.38007524,97.88089804,6.526289019,8.056718075
25,13,94.37841002,97.87923283,4.996192157,6.526621213
25,14,94.37674481,97.87756762,3.466095295,4.99652435
25,15,94.3750796,97.87590241,1.935998433,3.466427488
25,16,94.37341439,97.87423712,0.40590157,1.936340639
26,1,98.38244282,101.8832656,23.3577307,24.88816977
26,2,98.38077761,101.8816003,21.82763384,23.35807291
26,3,98.3791124,101.8799351,20.29753698,21.82797604
26,4,98.37744719,101.8782699,18.76744011,20.29787918
26,5,98.37578198,101.8766047,17.23734325,18.76778232
26,6,98.37411677,101.8749395,15.70724639,17.23768546
26,7,98.37245156,101.8732743,14.17714953,15.70758859
26,8,98.37077635,101.8716091,12.64705257,14.17749173
26,9,98.36911107,101.8699439,11.11696572,12.64739487
26,10,98.36744586,101.8682787,9.586868861,11.11729801
26,11,98.36578064,101.8666035,8.056771999,9.587201054
26,12,98.36411543,101.8649382,6.526675136,8.057104191
26,13,98.36245022,101.863273,4.996578274,6.527007329
26,14,98.36078501,101.8616078,3.466481411,4.996910466
26,15,98.3591198,101.8599426,1.936384549,3.466813603
26,16,98.35745459,101.8582774,0.406287686,1.936716742
27,1,102.366483,105.8673157,23.35811682,24.88855597
27,2,102.3648178,105.8656405,21.82801995,23.35845902
27,3,102.3631526,105.8639753,20.29792309,21.82836216
27,4,102.3614874,105.8623101,18.76782623,20.2982653
27,5,102.3598222,105.8606449,17.23772937,18.76816843
27,6,102.358157,105.8589797,15.7076325,17.23807157
27,7,102.3564918,105.8573145,14.17753564,15.70797471
27,8,102.3548266,105.8556493,12.64743878,14.17787785
27,9,102.3531613,105.8539841,11.11734192,12.64778098
27,10,102.3514961,105.8523189,9.587245053,11.11768412
27,11,102.3498208,105.8506536,8.057158114,9.587587259
27,12,102.3481556,105.8489884,6.527061252,8.057490395
27,13,102.3464904,105.8473232,4.996964389,6.527393534
27,14,102.3448252,105.845648,3.466867526,4.997296581
27,15,102.34316,105.8439828,1.936770664,3.467199719
27,16,102.3414948,105.8423176,0.406673801,1.937102856
28,1,106.3505332,109.851356,23.35850302,24.88894209
28,2,106.348858,109.8496907,21.82840607,23.35884523
28,3,106.3471928,109.8480255,20.29830921,21.82874836
28,4,106.3455276,109.8463503,18.76821234,20.29865141
28,5,106.3438624,109.8446851,17.23811548,18.76855455
28,6,106.3421972,109.8430199,15.70801862,17.23845769
28,7,106.340532,109.8413547,14.17792176,15.70836082
28,8,106.3388668,109.8396895,12.64782489,14.17826396
28,9,106.3372015,109.8380243,11.11772803,12.6481671
28,10,106.3355363,109.8363591,9.587631169,11.11807024
28,11,106.3338711,109.8346938,8.057534307,9.587973375
28,12,106.3322058,109.8330286,6.527447458,8.057876513
28,13,106.3305406,109.8313634,4.997350595,6.52777965
28,14,106.3288654,109.8296982,3.467253642,4.997682787
28,15,106.3272002,109.828033,1.93715678,3.467585925
28,16,106.325535,109.8263578,0.407059917,1.937488972
29,1,110.3345734,113.8353962,23.35888914,24.88931819
29,2,110.3329082,113.833731,21.82879227,23.35922133
29,3,110.331243,113.8320657,20.29869541,21.82913448
29,4,110.3295678,113.8304005,18.76859846,20.29903762
29,5,110.3279026,113.8287353,17.2385016,18.76894076
29,6,110.3262374,113.8270701,15.70840473,17.23884389
29,7,110.3245722,113.8253949,14.17830787,15.70874694
29,8,110.322907,113.8237297,12.64821101,14.17865008
29,9,110.3212417,113.8220645,11.11811415,12.64855322
29,10,110.3195765,113.8203993,9.588017285,11.11845635
29,11,110.3179113,113.818734,8.057920423,9.58835949
29,12,110.3162461,113.8170688,6.52782356,8.058262628
29,13,110.3145809,113.8154036,4.997726697,6.528165766
29,14,110.3129156,113.8137384,3.467639847,4.998068903
29,15,110.3112504,113.8120732,1.937542985,3.467972041
29,16,110.3095752,113.810408,0.407446033,1.937875178
30,1,114.3186136,117.8194364,23.35927525,24.88970431
30,2,114.3169484,117.8177712,21.82917839,23.35960745
30,3,114.3152832,117.816106,20.29908153,21.82951058
30,4,114.313618,117.8144407,18.76898467,20.29942373
30,5,114.3119528,117.8127755,17.2388878,18.76932687
